"dataelement_id","dataelement_version","dataelement_urn","dataelement_status","dataelement_designation","dataelement_definition","dataelement_datatype"
"1","1","urn:osse-46:dataelement:1:1","OUTDATED","Einwilligung Datennutzung ohne Beschränkung","Einwilligung Datennutzung ohne Beschränkung liegt vor.","BOOLEAN"
"1","2","urn:osse-46:dataelement:1:2","OUTDATED","Consent for data use","Consent for data use without restriction has been obtained.","BOOLEAN"
"5","1","urn:osse-46:dataelement:5:1","RELEASED","Datennutzung national","Einwilligung für nationale Datennutzung liegt vor.","BOOLEAN"
"2","1","urn:osse-46:dataelement:2:1","OUTDATED","National","Erlaubnis Nutzung der Daten national liegt vor.","BOOLEAN"
"3","1","urn:osse-46:dataelement:3:1","OUTDATED","International","Erlaubnis Nutzung der Daten international liegt vor.","BOOLEAN"
"8","1","urn:osse-46:dataelement:8:1","RELEASED","Use of biomaterials national","Consent for national use of biomaterials has been obtained. ","BOOLEAN"
"9","1","urn:osse-46:dataelement:9:1","RELEASED","Nutzung von Biomaterialien international","Einwilligung für internationale Nutzung von Biomaterialien (auch Drittländer) liegt vor.","BOOLEAN"
"7","1","urn:osse-46:dataelement:7:1","OUTDATED","Einwilligung Nutzung Biomaterialien","Einwilligung zur Nutzung von Biomaterialien ohne Beschränkung liegt vor.","BOOLEAN"
"7","2","urn:osse-46:dataelement:7:2","RELEASED","Consent for biomaterial use","Consent for use of biomaterials without restriction has been obtained. ","BOOLEAN"
"4","1","urn:osse-46:dataelement:4:1","OUTDATED","Einwilligung Datennutzung","Einwilligung Datennutzung ohne Beschränkung liegt vor.","BOOLEAN"
"10","1","urn:osse-46:dataelement:10:1","OUTDATED","ORPHAcode","ORPHAcode of the rare disease.","STRING"
"12","1","urn:osse-46:dataelement:12:1","OUTDATED","Alterskategorie","Alterskategorie des Patienten.","enumerated"
"14","1","urn:osse-46:dataelement:14:1","OUTDATED","an SE verstorben","Patient/in an der seltenen Erkrankung verstorben?","BOOLEAN"
"12","2","urn:osse-46:dataelement:12:2","OUTDATED","Age group","Please indicate the age group.","enumerated"
"14","2","urn:osse-46:dataelement:14:2","OUTDATED","died of rare disease","Patient has died of the rare disease","BOOLEAN"
"16","1","urn:osse-46:dataelement:16:1","OUTDATED","von dieser SE betroffene Mutter","Mutter ist von dieser seltenen Erkrankung betroffen","BOOLEAN"
"17","1","urn:osse-46:dataelement:17:1","OUTDATED","Father affected by this RD","Father is affected by this rare disease.","BOOLEAN"
"21","1","urn:osse-46:dataelement:21:1","OUTDATED","Alter","Bitte Alter des Geschwisters angeben.","INTEGER"
"26","1","urn:osse-46:dataelement:26:1","OUTDATED","Age at diagnosis","Age at diagnosis in months.","INTEGER"
"24","1","urn:osse-46:dataelement:24:1","OUTDATED","Selection of age description (diagnosis)","Please select the appropriate age description.","enumerated"
"23","1","urn:osse-46:dataelement:23:1","OUTDATED","Auswahl der Altersangabe (erste Symptome)","Bitte entsprechende Altersangabe auswählen. ","enumerated"
"29","1","urn:osse-46:dataelement:29:1","OUTDATED","Selection of age description at diagnosis","Please select the appropriate age description.","enumerated"
"24","2","urn:osse-46:dataelement:24:2","OUTDATED","Auswahl der Altersangabe bei Diagnose","Bitte entsprechende Altersangabe auswählen. ","enumerated"
"22","1","urn:osse-46:dataelement:22:1","OUTDATED","Geschlecht","Geschlecht des Geschwisterteils.","enumerated"
"23","2","urn:osse-46:dataelement:23:2","OUTDATED","Selection of age description at first symptoms","Please select the appropriate age description.","enumerated"
"24","3","urn:osse-46:dataelement:24:3","OUTDATED","Selection of age description at diagnosis","Please select the appropriate age description.","enumerated"
