"dataelement_id","dataelement_version","dataelement_urn","dataelement_status","dataelement_designation","dataelement_definition","pv_value","pv_designation","pv_definition"
"12","1","urn:osse-46:dataelement:12:1","OUTDATED","Alterskategorie","Alterskategorie des Patienten.","7","verstorben","verstorben"
"12","1","urn:osse-46:dataelement:12:1","OUTDATED","Alterskategorie","Alterskategorie des Patienten.","6","ungeboren","ungeboren"
"12","1","urn:osse-46:dataelement:12:1","OUTDATED","Alterskategorie","Alterskategorie des Patienten.","5","Erwachsene/r","Erwachsene/r"
"12","1","urn:osse-46:dataelement:12:1","OUTDATED","Alterskategorie","Alterskategorie des Patienten.","4","Jugendliche/r (bis 18.LJ)","Jugendliche/r (bis 18.LJ)"
"12","1","urn:osse-46:dataelement:12:1","OUTDATED","Alterskategorie","Alterskategorie des Patienten.","3","Schulkind (bis 12. LJ)","Schulkind (bis 12. LJ)"
"12","1","urn:osse-46:dataelement:12:1","OUTDATED","Alterskategorie","Alterskategorie des Patienten.","2","Kleinkind (bis 6. LJ)","Kleinkind (bis 6. LJ)"
"12","1","urn:osse-46:dataelement:12:1","OUTDATED","Alterskategorie","Alterskategorie des Patienten.","1","Säugling (bis Ende 1.LJ)","Säugling (bis Ende 1.LJ)"
"12","2","urn:osse-46:dataelement:12:2","OUTDATED","Age group","Please indicate the age group.","7","deceased","deceased"
"12","2","urn:osse-46:dataelement:12:2","OUTDATED","Age group","Please indicate the age group.","6","unborn","unborn"
"12","2","urn:osse-46:dataelement:12:2","OUTDATED","Age group","Please indicate the age group.","5","Adult","Adult"
"12","2","urn:osse-46:dataelement:12:2","OUTDATED","Age group","Please indicate the age group.","4","Adolescent (<18 years of age)","Adolescent (<18 years of age)"
"12","2","urn:osse-46:dataelement:12:2","OUTDATED","Age group","Please indicate the age group.","3","Child (<12 years of age)","Child (<12 years of age)"
"12","2","urn:osse-46:dataelement:12:2","OUTDATED","Age group","Please indicate the age group.","2","Toddler (<6 years of age)","Toddler (<6 years of age)"
"12","2","urn:osse-46:dataelement:12:2","OUTDATED","Age group","Please indicate the age group.","1","Infant (<1 year of age)","Infant (<1 year of age)"
"24","1","urn:osse-46:dataelement:24:1","OUTDATED","Selection of age description (diagnosis)","Please select the appropriate age description.","1","prenatal","prenatal"
"24","1","urn:osse-46:dataelement:24:1","OUTDATED","Selection of age description (diagnosis)","Please select the appropriate age description.","2","Indication in months","Indication in months"
"24","1","urn:osse-46:dataelement:24:1","OUTDATED","Selection of age description (diagnosis)","Please select the appropriate age description.","3","Indication in years","Indication in years"
"23","1","urn:osse-46:dataelement:23:1","OUTDATED","Auswahl der Altersangabe (erste Symptome)","Bitte entsprechende Altersangabe auswählen. ","3","Angabe in Jahren","Angabe in Jahren"
"23","1","urn:osse-46:dataelement:23:1","OUTDATED","Auswahl der Altersangabe (erste Symptome)","Bitte entsprechende Altersangabe auswählen. ","2","Angabe in Monaten","Angabe in Monaten"
"23","1","urn:osse-46:dataelement:23:1","OUTDATED","Auswahl der Altersangabe (erste Symptome)","Bitte entsprechende Altersangabe auswählen. ","1","vor Geburt","vor Geburt"
"29","1","urn:osse-46:dataelement:29:1","OUTDATED","Selection of age description at diagnosis","Please select the appropriate age description.","3","Indication in years","Indication in years"
"29","1","urn:osse-46:dataelement:29:1","OUTDATED","Selection of age description at diagnosis","Please select the appropriate age description.","2","Indication in months","Indication in months"
"29","1","urn:osse-46:dataelement:29:1","OUTDATED","Selection of age description at diagnosis","Please select the appropriate age description.","1","prenatal","prenatal"
"24","2","urn:osse-46:dataelement:24:2","OUTDATED","Auswahl der Altersangabe bei Diagnose","Bitte entsprechende Altersangabe auswählen. ","1","vor Geburt","vor Geburt"
"24","2","urn:osse-46:dataelement:24:2","OUTDATED","Auswahl der Altersangabe bei Diagnose","Bitte entsprechende Altersangabe auswählen. ","2","Angabe in Monaten","Angabe in Monaten"
"24","2","urn:osse-46:dataelement:24:2","OUTDATED","Auswahl der Altersangabe bei Diagnose","Bitte entsprechende Altersangabe auswählen. ","3","Angabe in Jahren","Angabe in Jahren"
"22","1","urn:osse-46:dataelement:22:1","OUTDATED","Geschlecht","Geschlecht des Geschwisterteils.","d","divers","divers"
"22","1","urn:osse-46:dataelement:22:1","OUTDATED","Geschlecht","Geschlecht des Geschwisterteils.","w","weiblich","weiblich"
"22","1","urn:osse-46:dataelement:22:1","OUTDATED","Geschlecht","Geschlecht des Geschwisterteils.","m","mänlich","mänlich"
"23","2","urn:osse-46:dataelement:23:2","OUTDATED","Selection of age description at first symptoms","Please select the appropriate age description.","3","Indication in years","Indication in years"
"23","2","urn:osse-46:dataelement:23:2","OUTDATED","Selection of age description at first symptoms","Please select the appropriate age description.","2","Indication in months","Indication in months"
"23","2","urn:osse-46:dataelement:23:2","OUTDATED","Selection of age description at first symptoms","Please select the appropriate age description.","1","prenatal","prenatal"
"24","3","urn:osse-46:dataelement:24:3","OUTDATED","Selection of age description at diagnosis","Please select the appropriate age description.","1","prenatal","prenatal"
